t,ref_c,humidity,dmm_c,r_ohm
1689546184.6134682,24.775,55.592,37.9644,2.000111506E+02
1689546186.031841,24.771,55.6,37.9644,2.000112223E+02
1689546187.450397,24.771,55.594,37.9644,2.000111751E+02
1689546188.8689232,24.771,55.594,37.9636,2.000112244E+02
1689546190.2874334,24.768,55.589,37.9636,2.000112593E+02
1689546191.7058685,24.777,55.598,37.9636,2.000112121E+02
1689546193.1241956,24.766,55.588,37.9636,2.000112191E+02
1689546194.5427067,24.769,55.589,37.9632,2.000112616E+02
1689546195.9611962,24.766,55.584,37.9632,2.000113071E+02
1689546197.3796766,24.769,55.591,37.9632,2.000111795E+02
1689546198.7982242,24.772,55.593,37.9632,2.000112232E+02
1689546200.2165565,24.772,55.593,37.962,2.000112188E+02
1689546201.6349795,24.765,55.587,37.962,2.000112345E+02
1689546203.0535622,24.772,55.599,37.962,2.000112363E+02
1689546204.4720588,24.763,55.598,37.962,2.000111594E+02
1689546205.8905864,24.768,55.594,37.9612,2.000112606E+02
1689546207.3089144,24.771,55.59,37.9612,2.000112099E+02
1689546208.7273643,24.769,55.599,37.9612,2.000112483E+02
1689546210.1458664,24.769,55.588,37.9612,2.000112746E+02
1689546211.564437,24.761,55.595,37.961,2.000112322E+02
1689546212.982749,24.769,55.593,37.961,2.000113039E+02
1689546214.4012907,24.775,55.595,37.961,2.000112637E+02
1689546215.8198028,24.774,55.592,37.961,2.000112881E+02
1689546217.2382977,24.775,55.598,37.9596,2.000112004E+02
1689546218.6566103,24.769,55.591,37.9596,2.000112686E+02
1689546220.0752513,24.766,55.59,37.9596,2.000112232E+02
1689546221.4936657,24.775,55.604,37.9596,2.000112984E+02
1689546222.9121025,24.775,55.599,37.9593,2.000112903E+02
1689546224.3306491,24.772,55.584,37.9593,2.000113236E+02
1689546225.7489953,24.772,55.603,37.9593,2.000113026E+02
1689546227.167515,24.775,55.595,37.9593,2.000113148E+02
1689546228.586082,24.765,55.592,37.9588,2.000112494E+02
1689546230.0044491,24.774,55.592,37.9588,2.000113124E+02
1689546231.4230437,24.771,55.602,37.9588,2.000112512E+02
1689546232.841299,24.769,55.596,37.9588,2.000112512E+02
1689546234.2598753,24.769,55.594,37.9581,2.000111981E+02
1689546235.6783917,24.769,55.602,37.9581,2.000112645E+02
1689546237.0968776,24.768,55.592,37.9581,2.000111911E+02
1689546238.5152223,24.771,55.603,37.9581,2.000112505E+02
1689546239.9337447,24.772,55.603,37.9579,2.000112155E+02
1689546241.3522885,24.771,55.603,37.9579,2.000112330E+02
1689546242.770748,24.771,55.602,37.9579,2.000112295E+02
1689546244.1892567,24.769,55.596,37.9579,2.000113326E+02
1689546245.6076128,24.772,55.6,37.9574,2.000111753E+02
1689546247.0261238,24.761,55.594,37.9574,2.000113292E+02
1689546248.4447267,24.768,55.593,37.9574,2.000111508E+02
1689546249.8631883,24.768,55.599,37.9574,2.000112837E+02
1689546251.281384,24.769,55.596,37.9571,2.000112569E+02
1689546252.6998909,24.774,55.602,37.9571,2.000112202E+02
1689546254.1185763,24.768,55.602,37.9571,2.000112167E+02
1689546255.5370286,24.768,55.605,37.9571,2.000111573E+02
1689546256.9553208,24.774,55.605,37.9572,2.000113170E+02
1689546258.3737082,24.766,55.599,37.9572,2.000112908E+02
1689546259.7923179,24.777,55.605,37.9572,2.000111702E+02
1689546261.2108145,24.763,55.606,37.9572,2.000112523E+02
1689546262.6291192,24.768,55.608,37.9572,2.000111568E+02
1689546264.047649,24.769,55.606,37.9572,2.000113001E+02
1689546265.46621,24.768,55.596,37.9572,2.000113526E+02
1689546266.8846903,24.772,55.602,37.9572,2.000112931E+02
1689546268.3031754,24.769,55.602,37.9571,2.000112675E+02
1689546269.7214715,24.771,55.604,37.9571,2.000113182E+02
1689546271.139953,24.768,55.604,37.9571,2.000113234E+02
1689546272.5585554,24.769,55.601,37.9571,2.000113549E+02
1689546273.9768953,24.772,55.603,37.9571,2.000112611E+02
1689546275.3954043,24.769,55.611,37.9571,2.000113905E+02
1689546276.8138795,24.763,55.606,37.9571,2.000112891E+02
1689546278.2324293,24.761,55.598,37.9571,2.000113975E+02
1689546279.6510134,24.771,55.602,37.957,2.000112821E+02
1689546281.0692034,24.771,55.604,37.957,2.000113205E+02
1689546282.487932,24.769,55.604,37.957,2.000113083E+02
1689546283.9062397,24.763,55.604,37.957,2.000113468E+02
1689546285.3248253,24.766,55.607,37.957,2.000112592E+02
1689546286.7431164,24.771,55.611,37.957,2.000113397E+02
1689546288.1615763,24.769,55.605,37.957,2.000113729E+02
1689546289.580151,24.765,55.604,37.957,2.000112890E+02
1689546290.998591,24.768,55.603,37.957,2.000113158E+02
1689546292.4169383,24.768,55.608,37.957,2.000112109E+02
1689546293.8354404,24.771,55.608,37.957,2.000112878E+02
1689546295.253905,24.769,55.603,37.957,2.000112441E+02
1689546296.6724722,24.769,55.606,37.957,2.000112221E+02
1689546298.0907826,24.763,55.608,37.957,2.000113480E+02
1689546299.5093288,24.768,55.608,37.957,2.000112396E+02
1689546300.9277635,24.771,55.602,37.957,2.000113567E+02
1689546302.3463364,24.763,55.603,37.9571,2.000112983E+02
1689546303.76484,24.766,55.605,37.9571,2.000112633E+02
1689546305.1830955,24.76,55.6,37.9571,2.000112039E+02
1689546306.60168,24.769,55.613,37.9571,2.000112406E+02
1689546308.02016,24.771,55.608,37.9572,2.000111324E+02
1689546309.4386678,24.772,55.61,37.9572,2.000112180E+02
1689546310.8569896,24.771,55.612,37.9572,2.000113090E+02
1689546312.2755132,24.774,55.604,37.9572,2.000112285E+02
1689546313.6940465,24.772,55.611,37.9572,2.000112234E+02
1689546315.1125445,24.768,55.608,37.9572,2.000112497E+02
1689546316.53119,24.775,55.616,37.9572,2.000112567E+02
1689546317.9493406,24.768,55.605,37.9572,2.000112829E+02
1689546319.3678954,24.771,55.601,37.9578,2.000111806E+02
1689546320.78639,24.775,55.614,37.9578,2.000111771E+02
1689546322.2048743,24.768,55.614,37.9578,2.000112977E+02
1689546323.6232393,24.765,55.611,37.9578,2.000112068E+02
1689546325.0418055,24.761,55.607,37.958,2.000112439E+02
1689546326.4603193,24.766,55.615,37.958,2.000111792E+02
1689546327.8787796,24.768,55.608,37.958,2.000111722E+02
1689546329.2970948,24.769,55.61,37.958,2.000112019E+02
