t, ref_c, humidity, v_ch1, v_ch2
1689038722.6019018, 24.593, 53.196, 9.999566078e+00, 9.999687195e+00
1689038724.0206738, 24.591, 53.189, 9.999572754e+00, 9.999687195e+00
1689038725.4387393, 24.594, 53.198, 9.999563217e+00, 9.999694824e+00
1689038726.8572068, 24.588, 53.19, 9.999563217e+00, 9.999699593e+00
1689038728.275732, 24.59, 53.188, 9.999561310e+00, 9.999687195e+00
1689038729.6942413, 24.593, 53.192, 9.999563217e+00, 9.999677658e+00
1689038731.1125948, 24.594, 53.192, 9.999544144e+00, 9.999685287e+00
1689038732.5310986, 24.598, 53.189, 9.999551773e+00, 9.999683380e+00
1689038733.9496105, 24.591, 53.193, 9.999561310e+00, 9.999668121e+00
1689038735.3681211, 24.593, 53.192, 9.999563217e+00, 9.999668121e+00
1689038736.786471, 24.599, 53.188, 9.999575615e+00, 9.999690056e+00
1689038738.2049804, 24.593, 53.186, 9.999556541e+00, 9.999692917e+00
1689038739.6234837, 24.59, 53.188, 9.999547005e+00, 9.999658585e+00
1689038741.041996, 24.602, 53.196, 9.999547005e+00, 9.999675751e+00
1689038742.4603243, 24.591, 53.19, 9.999556541e+00, 9.999677658e+00
1689038743.8788574, 24.59, 53.198, 9.999559402e+00, 9.999704361e+00
1689038745.297347, 24.587, 53.195, 9.999559402e+00, 9.999687195e+00
1689038746.715854, 24.596, 53.203, 9.999556541e+00, 9.999709129e+00
1689038748.134206, 24.59, 53.198, 9.999561310e+00, 9.999702454e+00
