t, ref_c, humidity, v_ch1, v_ch2
1689079276.204999, 23.848, 54.193, 9.999578476e+00, 9.999756813e+00
1689079277.6234956, 23.844, 54.188, 9.999575615e+00, 9.999756813e+00
1689079279.041998, 23.841, 54.19, 9.999582291e+00, 9.999759674e+00
1689079280.4603488, 23.845, 54.187, 9.999588013e+00, 9.999771118e+00
1689079281.8788931, 23.841, 54.188, 9.999566078e+00, 9.999756813e+00
1689079283.2973275, 23.836, 54.185, 9.999599457e+00, 9.999750137e+00
1689079284.715846, 23.844, 54.184, 9.999599457e+00, 9.999750137e+00
1689079286.1343455, 23.85, 54.18, 9.999607086e+00, 9.999753952e+00
1689079287.5527062, 23.836, 54.175, 9.999591827e+00, 9.999759674e+00
1689079288.971182, 23.851, 54.186, 9.999589920e+00, 9.999761581e+00
1689079290.3896844, 23.839, 54.188, 9.999607086e+00, 9.999761581e+00
1689079291.8080282, 23.838, 54.177, 9.999613762e+00, 9.999744415e+00
1689079293.2266338, 23.841, 54.186, 9.999604225e+00, 9.999737740e+00
1689079294.6450288, 23.838, 54.184, 9.999599457e+00, 9.999744415e+00
1689079296.0635521, 23.839, 54.186, 9.999597549e+00, 9.999744415e+00
1689079297.4818711, 23.842, 54.185, 9.999589920e+00, 9.999753952e+00
1689079298.9004488, 23.85, 54.192, 9.999607086e+00, 9.999742508e+00
1689079300.3189354, 23.841, 54.188, 9.999589920e+00, 9.999742508e+00
1689079301.7374809, 23.844, 54.193, 9.999599457e+00, 9.999753952e+00
1689079303.155751, 23.842, 54.185, 9.999604225e+00, 9.999753952e+00
1689079304.5742724, 23.844, 54.187, 9.999618530e+00, 9.999747276e+00
1689079305.9927468, 23.841, 54.195, 9.999580383e+00, 9.999750137e+00
1689079307.4112484, 23.831, 54.185, 9.999591827e+00, 9.999740601e+00
1689079308.8298151, 23.841, 54.192, 9.999601364e+00, 9.999740601e+00
1689079310.248089, 23.841, 54.192, 9.999610901e+00, 9.999747276e+00
1689079311.666582, 23.844, 54.19, 9.999607086e+00, 9.999744415e+00
1689079313.0851336, 23.844, 54.19, 9.999594688e+00, 9.999752045e+00
1689079314.5034857, 23.842, 54.186, 9.999616623e+00, 9.999740601e+00
1689079315.9220347, 23.844, 54.196, 9.999607086e+00, 9.999747276e+00
1689079317.340478, 23.847, 54.194, 9.999620438e+00, 9.999747276e+00
1689079318.7590008, 23.842, 54.197, 9.999623299e+00, 9.999737740e+00
1689079320.177268, 23.854, 54.192, 9.999599457e+00, 9.999732971e+00
1689079321.5958369, 23.854, 54.197, 9.999607086e+00, 9.999747276e+00
1689079323.014281, 23.854, 54.198, 9.999613762e+00, 9.999737740e+00
1689079324.4328291, 23.851, 54.188, 9.999604225e+00, 9.999731064e+00
1689079325.8513026, 23.85, 54.194, 9.999597549e+00, 9.999747276e+00
1689079327.269948, 23.854, 54.195, 9.999599457e+00, 9.999752045e+00
1689079328.6881797, 23.856, 54.196, 9.999599457e+00, 9.999734879e+00
1689079330.1066954, 23.861, 54.184, 9.999588013e+00, 9.999753952e+00
1689079331.5251598, 23.858, 54.193, 9.999594688e+00, 9.999752045e+00
1689079332.943531, 23.854, 54.187, 9.999594688e+00, 9.999750137e+00
1689079334.3621738, 23.851, 54.189, 9.999597549e+00, 9.999747276e+00
1689079335.7805834, 23.864, 54.192, 9.999604225e+00, 9.999752045e+00
1689079337.1990378, 23.858, 54.186, 9.999613762e+00, 9.999763489e+00
1689079338.6175914, 23.858, 54.193, 9.999613762e+00, 9.999759674e+00
1689079340.0358562, 23.859, 54.198, 9.999623299e+00, 9.999759674e+00
1689079341.4543705, 23.864, 54.192, 9.999613762e+00, 9.999747276e+00
1689079342.873184, 23.862, 54.193, 9.999610901e+00, 9.999753952e+00
